id,label
tweet_0,3
tweet_1,3
tweet_2,3
tweet_3,3
tweet_4,3
tweet_5,3
tweet_6,3
tweet_7,3
tweet_8,3
tweet_9,3
tweet_10,3
tweet_11,3
tweet_12,3
tweet_13,3
tweet_14,3
tweet_15,3
tweet_16,3
tweet_17,3
tweet_18,3
tweet_19,3
tweet_20,3
tweet_21,3
tweet_22,3
tweet_23,3
tweet_24,3
tweet_25,3
tweet_26,3
tweet_27,3
tweet_28,3
tweet_29,3
tweet_30,3
tweet_31,3
tweet_32,3
tweet_33,3
tweet_34,3
tweet_35,3
tweet_36,3
tweet_37,3
tweet_38,3
tweet_39,3
tweet_40,3
tweet_41,3
tweet_42,3
tweet_43,3
tweet_44,3
tweet_45,3
tweet_46,3
tweet_47,3
tweet_48,3
tweet_49,3
tweet_50,3
tweet_51,3
tweet_52,3
tweet_53,3
tweet_54,3
tweet_55,3
tweet_56,3
tweet_57,3
tweet_58,3
tweet_59,3
tweet_60,3
tweet_61,3
tweet_62,3
tweet_63,3
tweet_64,3
tweet_65,3
tweet_66,3
tweet_67,3
tweet_68,3
tweet_69,3
tweet_70,3
tweet_71,3
tweet_72,3
tweet_73,3
tweet_74,3
tweet_75,3
tweet_76,3
tweet_77,3
tweet_78,3
tweet_79,3
tweet_80,3
tweet_81,3
tweet_82,3
tweet_83,3
tweet_84,3
tweet_85,3
tweet_86,3
tweet_87,3
tweet_88,3
tweet_89,3
tweet_90,3
tweet_91,3
tweet_92,3
tweet_93,3
tweet_94,3
tweet_95,3
tweet_96,3
tweet_97,3
tweet_98,3
tweet_99,3
tweet_100,3
tweet_101,3
tweet_102,3
tweet_103,3
tweet_104,3
tweet_105,3
tweet_106,3
tweet_107,3
tweet_108,3
tweet_109,3
tweet_110,3
tweet_111,3
tweet_112,3
tweet_113,3
tweet_114,3
tweet_115,3
tweet_116,3
tweet_117,3
tweet_118,3
tweet_119,3
tweet_120,3
tweet_121,3
tweet_122,3
tweet_123,3
tweet_124,3
tweet_125,3
tweet_126,3
tweet_127,3
tweet_128,3
tweet_129,3
tweet_130,3
tweet_131,3
tweet_132,3
tweet_133,3
tweet_134,3
tweet_135,3
tweet_136,3
tweet_137,3
tweet_138,3
tweet_139,3
tweet_140,3
tweet_141,3
tweet_142,3
tweet_143,3
tweet_144,3
tweet_145,3
tweet_146,3
tweet_147,3
tweet_148,3
tweet_149,3
tweet_150,3
tweet_151,3
tweet_152,3
tweet_153,3
tweet_154,3
tweet_155,3
tweet_156,3
tweet_157,3
tweet_158,3
tweet_159,3
tweet_160,3
tweet_161,3
tweet_162,3
tweet_163,3
tweet_164,3
tweet_165,3
tweet_166,3
tweet_167,3
tweet_168,3
tweet_169,3
tweet_170,3
tweet_171,3
tweet_172,3
tweet_173,3
tweet_174,3
tweet_175,3
tweet_176,3
tweet_177,3
tweet_178,3
tweet_179,3
tweet_180,3
tweet_181,3
tweet_182,3
tweet_183,3
tweet_184,3
tweet_185,3
tweet_186,3
tweet_187,3
tweet_188,3
tweet_189,3
tweet_190,3
tweet_191,3
tweet_192,3
tweet_193,3
tweet_194,3
tweet_195,3
tweet_196,3
tweet_197,3
tweet_198,3
tweet_199,3
tweet_200,3
